site,year,Coal,Gas,Nuclear,Hydro,Solar,Wind,Bioenergy,Other_Fossil,Other_Renew
Germany,2000,0.5215,0.0865,0.2981,0.0382,0.0,0.0164,0.0076,0.0317,0.0
Germany,2001,0.5073,0.0959,0.2959,0.0393,0.0002,0.0181,0.0079,0.0354,0.0
Germany,2002,0.5133,0.0964,0.2824,0.0396,0.0003,0.0272,0.0091,0.0317,0.0
Germany,2003,0.506,0.104,0.2742,0.0304,0.0005,0.0317,0.0149,0.0383,0.0
Germany,2004,0.4901,0.1028,0.2741,0.034,0.0009,0.0427,0.0175,0.0379,0.0
Germany,2005,0.4698,0.1177,0.2658,0.032,0.0021,0.0453,0.024,0.0433,0.0
Germany,2006,0.4585,0.1186,0.2654,0.0318,0.0036,0.0497,0.0301,0.0424,0.0
Germany,2007,0.4708,0.1227,0.2227,0.0335,0.005,0.0642,0.039,0.0421,0.0
Germany,2008,0.4354,0.1399,0.2348,0.0323,0.0071,0.0654,0.0443,0.0407,0.0
Germany,2009,0.4311,0.1365,0.2295,0.0324,0.0114,0.067,0.0525,0.0395,0.0
Germany,2010,0.4212,0.1422,0.2252,0.0336,0.0192,0.0618,0.0543,0.0426,0.0
Germany,2011,0.4338,0.1416,0.1785,0.0292,0.033,0.0824,0.061,0.0404,0.0
Germany,2012,0.4457,0.1225,0.1605,0.0351,0.0431,0.0834,0.0697,0.04,0.0
Germany,2013,0.4577,0.1064,0.1545,0.0365,0.0486,0.0838,0.0723,0.0401,0.0001
Germany,2014,0.4435,0.098,0.157,0.0317,0.0573,0.0945,0.078,0.0399,0.0002
Germany,2015,0.4259,0.0962,0.1436,0.0297,0.0596,0.1261,0.0787,0.04,0.0002
Germany,2016,0.408,0.1257,0.1319,0.032,0.0585,0.1246,0.0794,0.0396,0.0003
Germany,2017,0.3744,0.1335,0.1184,0.0313,0.0601,0.164,0.079,0.039,0.0002
Germany,2018,0.3609,0.129,0.1202,0.028,0.0701,0.1739,0.0803,0.0374,0.0003
Germany,2019,0.2857,0.15,0.1251,0.0329,0.0754,0.2098,0.0835,0.0373,0.0003
Germany,2020,0.2375,0.1676,0.1136,0.033,0.0873,0.2331,0.0899,0.0375,0.0004
Germany,2021,0.2845,0.156,0.1194,0.034,0.0852,0.1972,0.0848,0.0384,0.0004
Germany,2022,0.3174,0.1394,0.0612,0.0311,0.1064,0.2202,0.0857,0.0382,0.0004
Germany,2023,0.2463,0.1513,0.0142,0.0419,0.126,0.2774,0.1012,0.0414,0.0004
Germany,2024,0.2144,0.1581,0.0,0.048,0.1495,0.2855,0.103,0.0411,0.0004
Germany,2025,0.2061,0.1652,0.0,0.0391,0.1791,0.2718,0.101,0.0378,0.0
Japan,2000,0.2166,0.2351,0.2902,0.0768,0.0003,0.0001,0.0146,0.1662,0.0
Japan,2001,0.2344,0.2368,0.2959,0.0753,0.0005,0.0002,0.0148,0.142,0.0
Japan,2002,0.2397,0.2291,0.2849,0.0731,0.0006,0.0004,0.0154,0.1568,0.0
Japan,2003,0.2673,0.25,0.2106,0.0846,0.0009,0.0008,0.0164,0.1695,0.0
Japan,2004,0.2635,0.23,0.255,0.0818,0.0011,0.0013,0.0161,0.1513,0.0
Japan,2005,0.2768,0.2195,0.2541,0.0673,0.0014,0.0017,0.0188,0.1604,0.0
Japan,2006,0.2674,0.2405,0.2613,0.0763,0.0017,0.0018,0.0185,0.1324,0.0
Japan,2007,0.2689,0.2515,0.2364,0.0631,0.002,0.0023,0.0188,0.1569,0.0
Japan,2008,0.2819,0.2744,0.2127,0.0635,0.0022,0.0025,0.018,0.1448,0.0
Japan,2009,0.2801,0.2915,0.2465,0.0633,0.0027,0.0031,0.0182,0.0945,0.0
Japan,2010,0.2741,0.2821,0.2529,0.0766,0.0034,0.0034,0.0189,0.0887,0.0
Japan,2011,0.2582,0.344,0.1476,0.0747,0.0049,0.004,0.0191,0.1475,0.0
Japan,2012,0.302,0.3934,0.0163,0.0697,0.0067,0.0043,0.02,0.1877,0.0
Japan,2013,0.3333,0.3894,0.0134,0.0729,0.0119,0.0047,0.0213,0.153,0.0
Japan,2014,0.3346,0.4243,0.0,0.0769,0.0222,0.0047,0.0222,0.1151,0.0
Japan,2015,0.3394,0.4053,0.0044,0.0833,0.0335,0.0051,0.0277,0.1014,0.0
Japan,2016,0.3183,0.431,0.0166,0.0747,0.0407,0.005,0.0223,0.0914,0.0
Japan,2017,0.3375,0.431,0.027,0.0736,0.0502,0.0058,0.0221,0.0528,0.0
Japan,2018,0.333,0.4115,0.0453,0.0748,0.0565,0.0068,0.0238,0.0482,0.0
Japan,2019,0.3349,0.3981,0.0627,0.0706,0.0644,0.0071,0.0264,0.0359,0.0
Japan,2020,0.3365,0.405,0.0425,0.0775,0.0751,0.0083,0.03,0.025,0.0
Japan,2021,0.3366,0.3729,0.0592,0.077,0.0814,0.0092,0.0336,0.0302,0.0
Japan,2022,0.3372,0.364,0.0498,0.072,0.0875,0.0091,0.0364,0.044,0.0
Japan,2023,0.3247,0.3447,0.0769,0.074,0.0957,0.0099,0.0417,0.0323,0.0
Japan,2024,0.3219,0.3407,0.0835,0.0782,0.0951,0.0114,0.0447,0.0246,0.0
United Kingdom,2000,0.3181,0.3927,0.2256,0.0135,0.0,0.0025,0.0103,0.0373,0.0
United Kingdom,2001,0.3417,0.3688,0.2341,0.0105,0.0,0.0025,0.0118,0.0306,0.0
United Kingdom,2002,0.3209,0.3932,0.2269,0.0124,0.0,0.0032,0.0131,0.0302,0.0
United Kingdom,2003,0.3477,0.3739,0.2227,0.0081,0.0,0.0032,0.0155,0.0289,0.0
United Kingdom,2004,0.3346,0.3987,0.2031,0.0123,0.0,0.0049,0.0187,0.0277,0.0
United Kingdom,2005,0.338,0.3832,0.2049,0.0124,0.0,0.0073,0.0228,0.0314,0.0
United Kingdom,2006,0.3747,0.3545,0.1899,0.0116,0.0,0.0106,0.0234,0.0353,0.0
United Kingdom,2007,0.3426,0.4178,0.1588,0.0128,0.0,0.0133,0.0235,0.0312,0.0
United Kingdom,2008,0.3198,0.4531,0.1349,0.0132,0.0001,0.0183,0.0248,0.0358,0.0
United Kingdom,2009,0.2735,0.4419,0.1834,0.0139,0.0001,0.0246,0.0284,0.0342,0.0
United Kingdom,2010,0.2816,0.4597,0.1626,0.0094,0.0001,0.0269,0.0321,0.0275,0.0
United Kingdom,2011,0.2946,0.398,0.1875,0.0155,0.0007,0.0434,0.0362,0.0241,0.0
United Kingdom,2012,0.3924,0.2753,0.1935,0.0146,0.0037,0.0545,0.0405,0.0254,0.0
United Kingdom,2013,0.3636,0.2675,0.1971,0.0131,0.0056,0.0793,0.0505,0.0233,0.0
United Kingdom,2014,0.2965,0.2984,0.1886,0.0174,0.012,0.0945,0.0669,0.0257,0.0
United Kingdom,2015,0.2239,0.2947,0.2076,0.0186,0.0222,0.1188,0.0863,0.0278,0.0
United Kingdom,2016,0.0904,0.422,0.2115,0.0158,0.0307,0.1096,0.0887,0.0314,0.0
United Kingdom,2017,0.0666,0.4043,0.208,0.0174,0.0339,0.1468,0.0943,0.0287,0.0
United Kingdom,2018,0.0504,0.394,0.1949,0.0163,0.038,0.1705,0.1052,0.0307,0.0
United Kingdom,2019,0.0211,0.4068,0.1717,0.0181,0.038,0.1951,0.1147,0.0344,0.0
United Kingdom,2020,0.0184,0.3606,0.1619,0.0222,0.0404,0.2437,0.1243,0.0285,0.0
